subject_id,task_id,file,fixation_id,start_idx,end_idx,start_time,end_time,duration,fix_x,fix_y,trial_id,llm_model,prompt_type,llm_provider
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,1,945,948,15764.828125,15814.875,50.046875,598.4132080078125,525.9780883789062,1,gemini-1.5-flash,detailed,gemini
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,2,1474,1477,24589.794921875,24639.841796875,50.046875,1186.19970703125,437.7474365234375,1,gemini-1.5-flash,detailed,gemini
2,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P002_ses-S001_task-Default_run-001_sar.xdf,1,649,652,10826.849609375,10876.8974609375,50.0478515625,1349.3455810546875,526.4998779296875,1,gemini-1.5-flash,detailed,gemini
2,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P002_ses-S001_task-Default_run-001_sar.xdf,2,1558,1558,25991.11328125,25991.11328125,0.0,636.1949462890625,592.9384765625,1,gemini-1.5-flash,detailed,gemini
3,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P003_ses-S001_task-Default_run-001_sar.xdf,1,215,218,3586.706787109375,3636.75390625,50.047119140625,1138.1123046875,673.1680297851562,1,gemini-1.5-flash,detailed,gemini
3,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P003_ses-S001_task-Default_run-001_sar.xdf,2,531,534,8858.33203125,8908.37890625,50.046875,627.082275390625,471.93853759765625,1,gemini-1.5-flash,detailed,gemini
4,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,1,689,692,11494.14453125,11544.19140625,50.046875,1065.640380859375,382.083984375,1,gemini-1.5-flash,detailed,gemini
4,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,2,726,730,12111.3916015625,12178.12109375,66.7294921875,675.3945922851562,429.6407775878906,1,gemini-1.5-flash,detailed,gemini
4,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,3,861,864,14363.509765625,14413.556640625,50.046875,1308.2952880859375,485.8737487792969,1,gemini-1.5-flash,detailed,gemini
4,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,4,1538,1541,25657.46484375,25707.513671875,50.048828125,582.2872924804688,482.55975341796875,1,gemini-1.5-flash,detailed,gemini
4,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,5,1551,1554,25874.3359375,25924.3828125,50.046875,584.06982421875,561.0996704101562,1,gemini-1.5-flash,detailed,gemini
