subject_id,task_id,file,trial_id,llm_model,prompt_type,llm_provider,n_fixations,mean_fixation_duration,total_fixation_time,total_time,fixation_rate
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,2,50.046875,100.09375,25.991112871776295,0.07694937919229294
2,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P002_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,2,25.02392578125,50.0478515625,25.991112871776295,0.07694937919229294
3,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P003_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,2,50.0469970703125,100.093994140625,25.991112871776295,0.07694937919229294
4,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,5,53.3837890625,266.9189453125,25.991112871776295,0.19237344798073236
5,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P005_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,3,50.047526041666664,150.142578125,25.991112871776295,0.1154240687884394
6,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P006_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,1,0.0,0.0,25.991112871776295,0.03847468959614647
7,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P007_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,4,37.53521728515625,150.140869140625,25.991112871776295,0.1538987583845859
8,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P008_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,25.991112871776295,0.0
9,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P009_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,4,50.047119140625,200.1884765625,25.991112871776295,0.1538987583845859
10,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P010_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,3,55.607584635416664,166.82275390625,25.991112871776295,0.1154240687884394
11,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P011_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,1,0.0,0.0,25.991112871776295,0.03847468959614647
12,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P012_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,1,50.04705810546875,50.04705810546875,25.991112871776295,0.03847468959614647
