subject_id,task_id,file,trial_id,trial_start,trial_end,llm_model,prompt_type,llm_provider,duration_seconds
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
2,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P002_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
3,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P003_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
4,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
5,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P005_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
6,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P006_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
7,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P007_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
8,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P008_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
9,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P009_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
10,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P010_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
11,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P011_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
12,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P012_ses-S001_task-Default_run-001_sar.xdf,1,719.5498076959676,745.5409205677439,gemini-1.5-flash,detailed,gemini,25.991112871776295
