subject_id,task_id,file,trial_id,llm_model,prompt_type,llm_provider,n_saccades,mean_saccade_duration,total_saccade_time,mean_amplitude,total_time,saccade_rate
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
2,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P002_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
3,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P003_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
4,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
5,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P005_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,1,24055.9609375,24055.9609375,502.49157878085,25.991112871776295,0.03847468959614647
6,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P006_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
7,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P007_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,1,14763.8857421875,14763.8857421875,328.89591959037165,25.991112871776295,0.03847468959614647
8,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P008_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
9,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P009_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
10,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P010_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
11,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P011_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
12,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P012_ses-S001_task-Default_run-001_sar.xdf,1,gemini-1.5-flash,detailed,gemini,0,0.0,0.0,0.0,25.991112871776295,0.0
