participant_id,trial_id,llm_provider,prompt_type,llm_model,expertise,saved_victims,step_count,task_id_x,file_x,n_fixations,mean_fixation_duration,total_fixation_time,total_time_x,fixation_rate,task_id_y,file_y,n_saccades,mean_saccade_duration,total_saccade_time,mean_amplitude,total_time_y,saccade_rate,Gemini,Detailed
1,1,gemini,detailed,gemini-1.5-flash,novice,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,2,50.046875,100.09375,25.99111287177629,0.0769493791922929,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0,0.0,0.0,0.0,25.99111287177629,0.0,1,1
10,1,gemini,detailed,gemini-1.5-flash,expert,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P010_ses-S001_task-Default_run-001_sar.xdf,3,55.60758463541666,166.82275390625,25.99111287177629,0.1154240687884394,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P010_ses-S001_task-Default_run-001_sar.xdf,0,0.0,0.0,0.0,25.99111287177629,0.0,1,1
11,1,gemini,detailed,gemini-1.5-flash,expert,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P011_ses-S001_task-Default_run-001_sar.xdf,1,0.0,0.0,25.99111287177629,0.0384746895961464,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P011_ses-S001_task-Default_run-001_sar.xdf,0,0.0,0.0,0.0,25.99111287177629,0.0,1,1
12,1,gemini,detailed,gemini-1.5-flash,expert,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P012_ses-S001_task-Default_run-001_sar.xdf,1,50.04705810546875,50.04705810546875,25.99111287177629,0.0384746895961464,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P012_ses-S001_task-Default_run-001_sar.xdf,0,0.0,0.0,0.0,25.99111287177629,0.0,1,1
2,1,gemini,detailed,gemini-1.5-flash,novice,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P002_ses-S001_task-Default_run-001_sar.xdf,2,25.02392578125,50.0478515625,25.99111287177629,0.0769493791922929,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P002_ses-S001_task-Default_run-001_sar.xdf,0,0.0,0.0,0.0,25.99111287177629,0.0,1,1
3,1,gemini,detailed,gemini-1.5-flash,novice,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P003_ses-S001_task-Default_run-001_sar.xdf,2,50.0469970703125,100.093994140625,25.99111287177629,0.0769493791922929,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P003_ses-S001_task-Default_run-001_sar.xdf,0,0.0,0.0,0.0,25.99111287177629,0.0,1,1
4,1,gemini,detailed,gemini-1.5-flash,novice,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,5,53.3837890625,266.9189453125,25.99111287177629,0.1923734479807323,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P004_ses-S001_task-Default_run-001_sar.xdf,0,0.0,0.0,0.0,25.99111287177629,0.0,1,1
5,1,gemini,detailed,gemini-1.5-flash,novice,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P005_ses-S001_task-Default_run-001_sar.xdf,3,50.04752604166666,150.142578125,25.99111287177629,0.1154240687884394,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P005_ses-S001_task-Default_run-001_sar.xdf,1,24055.9609375,24055.9609375,502.49157878085,25.99111287177629,0.0384746895961464,1,1
6,1,gemini,detailed,gemini-1.5-flash,novice,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P006_ses-S001_task-Default_run-001_sar.xdf,1,0.0,0.0,25.99111287177629,0.0384746895961464,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P006_ses-S001_task-Default_run-001_sar.xdf,0,0.0,0.0,0.0,25.99111287177629,0.0,1,1
7,1,gemini,detailed,gemini-1.5-flash,expert,0,0,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P007_ses-S001_task-Default_run-001_sar.xdf,4,37.53521728515625,150.140869140625,25.99111287177629,0.1538987583845859,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P007_ses-S001_task-Default_run-001_sar.xdf,1,14763.8857421875,14763.8857421875,328.89591959037165,25.99111287177629,0.0384746895961464,1,1
